log_comment,query_duration_ms,read_rows,read_bytes,memory_usage,result_rows,event_time,query,model,run,read_mb,memory_mb
benchmark_20260822_101612_q01_star_run_1,34,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,1,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_2,43,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,2,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_3,49,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,3,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_4,75,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,4,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_5,80,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,5,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_6,87,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,6,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_7,84,935805,9358050,5974508,65,2026-08-22 08:16:13,q01,star,7,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_8,101,935805,9358050,5974508,65,2026-08-22 08:16:14,q01,star,8,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_star_run_9,96,935805,9358050,5974668,65,2026-08-22 08:16:14,q01,star,9,8.924531936645508,5.697887420654297
benchmark_20260822_101612_q01_star_run_10,88,935805,9358050,5974508,65,2026-08-22 08:16:14,q01,star,10,8.924531936645508,5.697734832763672
benchmark_20260822_101612_q01_obt_run_1,93,935805,9358050,6632087,65,2026-08-22 08:16:14,q01,obt,1,8.924531936645508,6.324851036071777
benchmark_20260822_101612_q01_obt_run_2,85,935805,9358050,6632087,65,2026-08-22 08:16:14,q01,obt,2,8.924531936645508,6.324851036071777
benchmark_20260822_101612_q01_obt_run_3,49,935805,9358050,6632087,65,2026-08-22 08:16:14,q01,obt,3,8.924531936645508,6.324851036071777
benchmark_20260822_101612_q01_obt_run_4,43,935805,9358050,6632087,65,2026-08-22 08:16:14,q01,obt,4,8.924531936645508,6.324851036071777
benchmark_20260822_101612_q01_obt_run_5,44,935805,9358050,6632087,65,2026-08-22 08:16:14,q01,obt,5,8.924531936645508,6.324851036071777
