query,model,runs,median_duration_ms,mean_duration_ms,std_duration_ms,min_duration_ms,max_duration_ms,median_read_rows,median_read_mb,median_memory_mb,median_result_rows
q01,obt,10,44.0,50.7,21.18726032312814,30,93,935805.0,8.924531936645508,6.324851036071777,65.0
q01,star,10,82.0,73.7,23.33357142735667,34,101,935805.0,8.924531936645508,5.697734832763672,65.0
q02,obt,10,76.0,70.6,22.326864734863445,35,104,935805.0,8.924531936645508,5.7823686599731445,2.0
q02,star,10,117.5,130.3,35.73684684219107,101,214,937213.0,15.52148151397705,5.9604997634887695,2.0
q03,obt,10,47.5,49.5,10.762589527308624,39,71,935805.0,10.70943832397461,6.090206146240234,25.0
q03,star,10,272.0,284.2,82.73894689523993,216,498,950888.0,14.330913543701172,11.324119567871094,25.0
q04,obt,10,13.5,13.8,1.3984117975602022,12,16,514325.0,1.8900775909423828,6.067885398864746,8.0
q04,star,10,71.0,88.0,35.29557731186413,65,163,936215.0,12.311368942260742,20.541142463684082,8.0
q05,obt,10,19.0,23.8,11.477514248883917,16,53,530709.0,4.357780456542969,4.953125953674316,71.0
q05,star,10,344.5,361.1,77.62080190830862,268,492,952706.0,19.50720977783203,99.63807678222656,71.0
q06,obt,10,2906.0,3224.4,859.61957994349,2301,4644,935805.0,61.526161193847656,412.4405961036682,935805.0
q06,star,10,4692.0,4546.9,1437.5806412163458,2641,6729,952706.0,34.0931282043457,531.2792081832886,935805.0
